taxomid,scientific_name,subspecies,rank,subpopulation,category,country,Nesp,taxonid
NA,Abralia redfieldi,NA,NA,NA,LC,AR,3417,163028
NA,Abrawayaomys chebezi,NA,NA,NA,DD,AR,3417,47761700
NA,Abrawayaomys ruschii,NA,NA,NA,LC,AR,3417,47760825
NA,Abrocoma budini,NA,NA,NA,DD,AR,3417,136334
NA,Abrocoma cinerea,NA,NA,NA,LC,AR,3417,42657
NA,Abrocoma famatina,NA,NA,NA,DD,AR,3417,136367
NA,Abrocoma shistacea,NA,NA,NA,LC,AR,3417,136525
NA,Abrocoma uspallata,NA,NA,NA,DD,AR,3417,136302
NA,Abrocoma vaccarum,NA,NA,NA,DD,AR,3417,136546
NA,Abrothrix andinus,NA,NA,NA,LC,AR,3417,4803
NA,Abrothrix illutea,NA,NA,NA,LC,AR,3417,735
NA,Abrothrix jelskii,NA,NA,NA,LC,AR,3417,4804
NA,Abrothrix lanosus,NA,NA,NA,LC,AR,3417,740
NA,Abrothrix longipilis,NA,NA,NA,LC,AR,3417,743
NA,Abrothrix olivaceus,NA,NA,NA,LC,AR,3417,751
NA,Acacia albicorticata,NA,NA,NA,VU,AR,3417,38212
NA,Acacia caven,NA,NA,NA,LC,AR,3417,131400014
NA,Acacia etilis,NA,NA,NA,VU,AR,3417,38211
NA,Acacia furcatispina,NA,NA,NA,LR/lc,AR,3417,34654
NA,Acacia gilliesii,NA,NA,NA,LC,AR,3417,19893037
NA,Acacia riparia,NA,NA,NA,LC,AR,3417,19892630
NA,Acacia visco,NA,NA,NA,LR/lc,AR,3417,34360
NA,Acanthagrion cuyabae,NA,NA,NA,LC,AR,3417,159060
NA,Acanthagrion peruvianum,NA,NA,NA,LC,AR,3417,158994
NA,Acanthistius brasilianus,NA,NA,NA,DD,AR,3417,154987
NA,Acanthochelys pallidipectoris,NA,NA,NA,EN,AR,3417,75
NA,Acanthochelys spixii,NA,NA,NA,LR/nt,AR,3417,76
NA,Acanthostracion quadricornis,NA,NA,NA,LC,AR,3417,193647
NA,Accipiter bicolor,NA,NA,NA,LC,AR,3417,22695669
NA,Accipiter poliogaster,NA,NA,NA,NT,AR,3417,22695453
NA,Accipiter striatus,NA,NA,NA,LC,AR,3417,22734130
NA,Accipiter superciliosus,NA,NA,NA,LC,AR,3417,22695565
NA,Achatocarpus praecox,NA,NA,NA,LC,AR,3417,144307218
NA,Achirus lineatus,NA,NA,NA,LC,AR,3417,193273
NA,Aconaemys fuscus,NA,NA,NA,LC,AR,3417,278
NA,Aconaemys porteri,NA,NA,NA,DD,AR,3417,136331
NA,Aconaemys sagei,NA,NA,NA,DD,AR,3417,279
NA,Acridotheres cristatellus,NA,NA,NA,LC,AR,3417,22710946
NA,Acroceras zizanioides,NA,NA,NA,LC,AR,3417,44392329
NA,Actitis macularius,NA,NA,NA,LC,AR,3417,22693277
NA,Adelomyia melanogenys,NA,NA,NA,LC,AR,3417,22687696
